_id,strDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strInstructions,strIngList
129,Banana Strawberry Shake,Non alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/vqquwx1472720634.jpg,Highball Glass,Strawberries,Banana,Yoghurt,Milk,Honey,,,,,,,,1/2 lb frozen,1 frozen,1 cup plain,1 cup,to taste,,,,,,,,Blend all together in a blender until smooth.,"[""Strawberries"", ""Banana"", ""Yoghurt"", ""Milk"", ""Honey""]"
130,Banana Strawberry Shake Daiquiri-type,Non alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/uvypss1472720581.jpg,Cocktail Glass,Strawberries,Banana,Apple Juice,,,,,,,,,,1/2 lb frozen,1 frozen,2 cups fresh,,,,,,,,,,Blend all together in a blender until smooth.,"[""Strawberries"", ""Banana"", ""Apple Juice""]"
131,Barracuda,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg,Margarita glass,Rum,Galliano,Pineapple Juice,Lime Juice,Prosecco,,,,,,,,4.5 cl,1.5 cl,6 cl,1 dash,top up,,,,,,,,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.","[""Rum"", ""Galliano"", ""Pineapple Juice"", ""Lime Juice"", ""Prosecco""]"
132,Belgian Blue,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/rttsxw1441245419.jpg,Highball glass,Vodka,Coconut Liqueur,Blue Curacao,Sprite,,,,,,,,,2 cl,1 cl,1 cl,Fill with,,,,,,,,,Just pour all ingredients in the glass and stir...,"[""Vodka"", ""Coconut Liqueur"", ""Blue Curacao"", ""Sprite""]"
133,Bellini,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,Champagne Flute,Champagne,Peach Schnapps,,,,,,,,,,,6 oz,1 oz,,,,,,,,,,,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.","[""Champagne"", ""Peach Schnapps""]"
134,Bellini Martini,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3h9wv51504389379.jpg,Cocktail glass,Ice,Vodka,Peach Nectar,Peach Schnapps,Lemon Peel,,,,,,,,8 cubes,3 oz,1.5 oz,1.5 oz,1,,,,,,,,Add ice cubes to shaker.\nAdd vodka.\nAdd peach schnapps.\nAdd peach nectar.\nShake.\nStrain into glass.\nAdd lemon twist peel.,"[""Ice"", ""Vodka"", ""Peach Nectar"", ""Peach Schnapps"", ""Lemon Peel""]"
135,Bermuda Highball,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qrvtww1441206528.jpg,Highball glass,Brandy,Gin,Dry Vermouth,Carbonated Water,Lemon Peel,,,,,,,,3/4 oz,3/4 oz,3/4 oz,,,,,,,,,,"Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)","[""Brandy"", ""Gin"", ""Dry Vermouth"", ""Carbonated Water"", ""Lemon Peel""]"
136,Berry Deadly,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/xqutpr1461867477.jpg,Collins Glass,Everclear,Wine,Orange Juice,Kool-Aid,,,,,,,,,2 pint,1 bottle Boone Strawberry Hill,1/2 gal,1 gal Tropical Berry,,,,,,,,,Add all ingredients to large bowl. Stir gently. Serve chilled.,"[""Everclear"", ""Wine"", ""Orange Juice"", ""Kool-Aid""]"
137,Between The Sheets,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/of1rj41504348346.jpg,Cocktail glass,Brandy,Light Rum,Triple Sec,Lemon Juice,,,,,,,,,1 oz,1 oz,1 oz,1 oz,,,,,,,,,"Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.","[""Brandy"", ""Light Rum"", ""Triple Sec"", ""Lemon Juice""]"
138,Bible Belt,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg,Highball glass,Southern Comfort,Triple Sec,Lime,Sour Mix,,,,,,,,,2 oz,1/2 oz,2 wedges,2 oz,,,,,,,,,"Mix all ingredients, and pour over ice.","[""Southern Comfort"", ""Triple Sec"", ""Lime"", ""Sour Mix""]"
139,Big Red,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,Shot glass,Irish Cream,Goldschlager,,,,,,,,,,,1/2 oz,1/2 oz,,,,,,,,,,,Pour ingredients into 1 ounce shot glass,"[""Irish Cream"", ""Goldschlager""]"
140,Black & Tan,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/rwpswp1454511017.jpg,Pint glass,Ale,Guinness Stout,,,,,,,,,,,1 part Bass pale,1 part,,,,,,,,,,,Fill pint glass half full with Bass. Next pour Guiness over a spoon slowly until glass is full. If done correctly the Guiness will stay on top and the Bass on bottom hence the name Black & Tan.,"[""Ale"", ""Guinness Stout""]"
141,Black Forest Shake,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/xxtxsu1472720505.jpg,Collins Glass,Ice,Chocolate Syrup,Cherry Brandy,Vodka,Milk,,,,,,,,cubes,,,,,,,,,,,,"In a blender put ice cubes, chocolate syrup, cherry brandy, vodka, and milk. Blend very well.","[""Ice"", ""Chocolate Syrup"", ""Cherry Brandy"", ""Vodka"", ""Milk""]"
142,Black Russian,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/2k5gbb1504367689.jpg,Old-fashioned glass,Coffee Liqueur,Vodka,,,,,,,,,,,3/4 oz,1 1/2 oz,,,,,,,,,,,Pour the ingredients into an old fashioned glass filled with ice cubes. Stir gently.,"[""Coffee Liqueur"", ""Vodka""]"
143,Black and Brown,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/wwuvxv1472668899.jpg,Beer pilsner,Guinness Stout,Root Beer,,,,,,,,,,,2-Jan,2-Jan,,,,,,,,,,,CAREFULLY to avoid explosive head formation: Pour Beer glass half full of favorite rootbeer and top off with Guinness.,"[""Guinness Stout"", ""Root Beer""]"
144,Blackthorn,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xvswvy1441209430.jpg,Cocktail glass,Sweet Vermouth,Sloe Gin,Lemon Peel,,,,,,,,,,1 oz,1 1/2 oz,1 twist of,,,,,,,,,,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,"[""Sweet Vermouth"", ""Sloe Gin"", ""Lemon Peel""]"
145,Bleeding Surgeon,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/usuvvr1472719118.jpg,Collins glass,Dark Rum,Orange,Surge,Cranberry Juice,,,,,,,,,1 shot,1 slice,1/2 glass,1/2 glass,,,,,,,,,"Pour Shot of Rum over slice of orange. Fill the remaining space in glass half way full of surge or similar drink. Finish off glass with cranberry juice. Be carefull, warm surge may foam over the glass.","[""Dark Rum"", ""Orange"", ""Surge"", ""Cranberry Juice""]"
146,Blind Russian,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/wxuqvr1472720408.jpg,Collins glass,Bailey'S Irish Cream,Godiva Liqueur,Kahlua,Butterscotch Schnapps,Milk,,,,,,,,3/4 oz,3/4 oz,3/4 oz,1/2 oz,to fill,,,,,,,,Fill glass with ice. Add all liquers. Add milk. shake.,"[""Bailey'S Irish Cream"", ""Godiva Liqueur"", ""Kahlua"", ""Butterscotch Schnapps"", ""Milk""]"
147,Bloody Maria,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yz0j6z1504389461.jpg,Old-fashioned glass,Tequila,Tomato Juice,Lemon Juice,Tabasco Sauce,Celery Salt,Lemon,,,,,,,1 oz,2 oz,1 dash,1 dash,1 dash,1 slice,,,,,,,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.,"[""Tequila"", ""Tomato Juice"", ""Lemon Juice"", ""Tabasco Sauce"", ""Celery Salt"", ""Lemon""]"
148,Bloody Mary,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uyquuu1439906954.jpg,Old-fashioned glass,Vodka,Tomato Juice,Lemon Juice,Worcestershire Sauce,Tabasco Sauce,Lime,,,,,,,1 1/2 oz,3 oz,1 dash,1/2 tsp,2-3 drops,1 wedge,,,,,,,"Stirring gently, pour all ingredients into highball glass. Garnish.","[""Vodka"", ""Tomato Juice"", ""Lemon Juice"", ""Worcestershire Sauce"", ""Tabasco Sauce"", ""Lime""]"
149,Blue Lagoon,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vak0e51504389504.jpg,Highball glass,Vodka,Blue Curacao,Lemonade,Cherry,,,,,,,,,1 oz,1 oz,,,,,,,,,,,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve.","[""Vodka"", ""Blue Curacao"", ""Lemonade"", ""Cherry""]"
150,Blue Margarita,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qtvvyq1439905913.jpg,Cocktail glass,Tequila,Blue Curacao,Lime Juice,Salt,,,,,,,,,1 1/2 oz,1 oz,1 oz,Coarse,,,,,,,,,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve.","[""Tequila"", ""Blue Curacao"", ""Lime Juice"", ""Salt""]"
151,Blue Mountain,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vsxssp1441209853.jpg,Old-fashioned glass,Añejo Rum,Tia Maria,Vodka,Orange Juice,Lemon Juice,,,,,,,,1 1/2 oz,1/2 oz,1/2 oz,1 oz,1 tsp,,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass alomst filled with ice cubes.","[""Añejo Rum"", ""Tia Maria"", ""Vodka"", ""Orange Juice"", ""Lemon Juice""]"
152,Bluebird,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vxypsq1441209971.jpg,Cocktail glass,Gin,Triple Sec,Blue Curacao,Bitters,Maraschino Cherry,Lemon Peel,,,,,,,1 1/2 oz,1/2 oz,1/2 oz,2 dashes,1,1 twist of,,,,,,,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.","[""Gin"", ""Triple Sec"", ""Blue Curacao"", ""Bitters"", ""Maraschino Cherry"", ""Lemon Peel""]"
153,Bob Marley,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,Shot glass,Midori Melon Liqueur,Jägermeister,Goldschlager,,,,,,,,,,1/2 oz,1/2 oz,1/2 oz,,,,,,,,,,Layer in a 2 oz shot glass or pony glass,"[""Midori Melon Liqueur"", ""Jägermeister"", ""Goldschlager""]"
154,Bobby Burns Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/km6se51484411608.jpg,Cocktail glass,Sweet Vermouth,Scotch,Benedictine,Lemon Peel,,,,,,,,,1 1/2 oz,1 1/2 oz,1 1/4 tsp,1 twist of,,,,,,,,,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,"[""Sweet Vermouth"", ""Scotch"", ""Benedictine"", ""Lemon Peel""]"
155,Boomerang,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,Cocktail glass,Gin,Dry Vermouth,Bitters,Maraschino Liqueur,Maraschino Cherry,,,,,,,,2 oz,1/2 oz,2 dashes,1/2 tsp,1,,,,,,,,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.","[""Gin"", ""Dry Vermouth"", ""Bitters"", ""Maraschino Liqueur"", ""Maraschino Cherry""]"
156,Boozy Snickers Milkshake,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/861tzm1504784164.jpg,Mason jar,Vanilla Ice-Cream,Milk,Godiva Liqueur,Whipped Cream,Caramel Sauce,Chocolate Sauce,Mini-Snickers Bars,,,,,,3 cups,1 cup,1/2 cup,for topping,4 tablespoons,4 tablespoons,15,,,,,,"Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream.","[""Vanilla Ice-Cream"", ""Milk"", ""Godiva Liqueur"", ""Whipped Cream"", ""Caramel Sauce"", ""Chocolate Sauce"", ""Mini-Snickers Bars""]"
157,Bora Bora,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,Highball glass,Pineapple Juice,Passion Fruit Juice,Lemon Juice,Grenadine,,,,,,,,,10 cl,6 cl,1 cl,1 cl,,,,,,,,,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.","[""Pineapple Juice"", ""Passion Fruit Juice"", ""Lemon Juice"", ""Grenadine""]"
158,Boston Sidecar,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qzs5d11504365962.jpg,Cocktail glass,Light Rum,Brandy,Triple Sec,Lime,,,,,,,,,3/4 oz,3/4 oz,3/4 oz,Juice of 1/2,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","[""Light Rum"", ""Brandy"", ""Triple Sec"", ""Lime""]"
159,Boston Sour,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,Whiskey sour glass,Blended Whiskey,Lemon,Powdered Sugar,Egg White,Lemon,Cherry,,,,,,,2 oz,Juice of 1/2,1 tsp,1,1 slice,1,,,,,,,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.","[""Blended Whiskey"", ""Lemon"", ""Powdered Sugar"", ""Egg White"", ""Lemon"", ""Cherry""]"
160,Bourbon Sling,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3s36ql1504366260.jpg,Highball glass,Sugar,Water,Lemon Juice,Bourbon,Lemon Peel,,,,,,,,1 tsp superfine,2 tsp,1 oz,2 oz,1 twist of,,,,,,,,"In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist.","[""Sugar"", ""Water"", ""Lemon Juice"", ""Bourbon"", ""Lemon Peel""]"
161,Bourbon Sour,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dms3io1504366318.jpg,Whiskey sour glass,Bourbon,Lemon Juice,Sugar,Orange,Maraschino Cherry,,,,,,,,2 oz,1 oz,1/2 tsp superfine,1,1,,,,,,,,"In a shaker half-filled with ice cubes, combine the bourbon, lemon juice, and sugar. Shake well. Strain into a whiskey sour glass, garnish with the orange slice and cherry.","[""Bourbon"", ""Lemon Juice"", ""Sugar"", ""Orange"", ""Maraschino Cherry""]"
162,Boxcar,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,Whiskey sour glass,Gin,Triple Sec,Lemon Juice,Grenadine,Egg White,,,,,,,,1 1/2 oz,1 oz,1 tsp,1/2 tsp,1,,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.","[""Gin"", ""Triple Sec"", ""Lemon Juice"", ""Grenadine"", ""Egg White""]"
163,Brain Fart,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,Punch bowl,Everclear,Vodka,Mountain Dew,Surge,Lemon Juice,Rum,,,,,,,1 fifth,1 fifth Smirnoff red label,2 L,2 L,1 small bottle,1 pint,,,,,,,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,"[""Everclear"", ""Vodka"", ""Mountain Dew"", ""Surge"", ""Lemon Juice"", ""Rum""]"
164,Brainteaser,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/ruywtq1461866066.jpg,Shot Glass,Sambuca,Erin Cream,Advocaat,,,,,,,,,,30 ml white,30 ml,5 ml,,,,,,,,,,"layered erin first, then sambuca and then avocart(should sit in middle of other two. To drink: use a straw to suck up avocart then shot the rest and then suck fumes up through straw.","[""Sambuca"", ""Erin Cream"", ""Advocaat""]"
165,Bramble,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg,Old-Fashioned glass,Gin,Lemon Juice,Sugar Syrup,Creme De Mure,,,,,,,,,4 cl,1.5 cl,1 cl,1.5 cl,,,,,,,,,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.","[""Gin"", ""Lemon Juice"", ""Sugar Syrup"", ""Creme De Mure""]"
166,Brandon and Will's Coke Float,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/xspxyr1472719185.jpg,Beer mug,Vanilla Ice-Cream,Coca-Cola,Bourbon,,,,,,,,,,2 scoops,1 can,2 oz,,,,,,,,,,"Scoop two large scoops of vanilla ice-cream into frosted beer mug. Next, add 2 ounces Maker's Mark. Then, pour in coke. Gently stir and enjoy.","[""Vanilla Ice-Cream"", ""Coca-Cola"", ""Bourbon""]"
167,Brandy Alexander,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tvqxvr1483387746.jpg,Cocktail glass,Brandy,Creme De Cacao,Light Cream,Nutmeg,,,,,,,,,1 oz,1 oz white,1 oz,,,,,,,,,,Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,"[""Brandy"", ""Creme De Cacao"", ""Light Cream"", ""Nutmeg""]"
168,Brandy Cobbler,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtvutr1439465836.jpg,Old-fashioned glass,Sugar,Club Soda,Lemon,Brandy,Maraschino Cherry,Orange,,,,,,,1 tsp superfine,3 oz,1,2 oz,1,1,,,,,,,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the brandy. Stir well. Garnish with the cherry and the orange and lemon slices.","[""Sugar"", ""Club Soda"", ""Lemon"", ""Brandy"", ""Maraschino Cherry"", ""Orange""]"
169,Brandy Flip,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/6ty09d1504366461.jpg,Whiskey sour glass,Brandy,Egg,Sugar,Light Cream,Nutmeg,,,,,,,,2 oz,1 whole,1 tsp superfine,1/2 oz,1/8 tsp grated,,,,,,,,"In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg.","[""Brandy"", ""Egg"", ""Sugar"", ""Light Cream"", ""Nutmeg""]"
170,Brandy Sour,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tu0mts1504366540.jpg,Whiskey sour glass,Brandy,Lemon,Powdered Sugar,Lemon,Cherry,,,,,,,,2 oz,Juice of 1/2,1/2 tsp,1/2 slice,1,,,,,,,,"Shake brandy, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with the lemon slice, top with the cherry, and serve.","[""Brandy"", ""Lemon"", ""Powdered Sugar"", ""Lemon"", ""Cherry""]"
171,Brave Bull Shooter,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/yrtypx1473344625.jpg,Shot glass,Tequila,Tabasco Sauce,,,,,,,,,,,1/2 oz,1/2 oz,,,,,,,,,,,Pour Tabasco into bottom of shot glass and fill with tequila.,"[""Tequila"", ""Tabasco Sauce""]"
172,Bruce's Puce,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/svsvqv1473344558.jpg,Shot glass,Grenadine,Kahlua,Bailey'S Irish Cream,,,,,,,,,,,,,,,,,,,,,,"In a regular-sized shot glass, layer, with a spoon or cherry, the grenadine , the Kahlua , then the Bailey's Irish cream in equal portions. It goes down really smooth ,and you don't even need a chaser. It tastes just like chocolate milk.(Really!)","[""Grenadine"", ""Kahlua"", ""Bailey'S Irish Cream""]"
173,Bruised Heart,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/7if5kq1503564209.jpg,Shot glass,Vodka,Chambord Raspberry Liqueur,Peachtree Schnapps,Cranberry Juice,,,,,,,,,1/2 oz,1/2 oz,1/2 oz,1/2 oz,,,,,,,,,"Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass","[""Vodka"", ""Chambord Raspberry Liqueur"", ""Peachtree Schnapps"", ""Cranberry Juice""]"
174,Bubble Gum,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,Shot glass,Vodka,Banana Liqueur,Orange Juice,Peach Schnapps,,,,,,,,,4-Jan,4-Jan,4-Jan,4-Jan,,,,,,,,,Layer in order into a shot glass.,"[""Vodka"", ""Banana Liqueur"", ""Orange Juice"", ""Peach Schnapps""]"
175,Buccaneer,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,Beer pilsner,Corona,Bacardi Limon,,,,,,,,,,,1,1 shot,,,,,,,,,,,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,"[""Corona"", ""Bacardi Limon""]"
176,Bumble Bee #1,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg,Shot glass,Bailey'S Irish Cream,Kahlua,Sambuca,,,,,,,,,,1/3 oz,1/3 oz,1/3 oz,,,,,,,,,,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!","[""Bailey'S Irish Cream"", ""Kahlua"", ""Sambuca""]"
177,Butter Baby,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/1xhjk91504783763.jpg,Beer mug,Vanilla Ice-Cream,Butterscotch Schnapps,Milk,Vodka,,,,,,,,,2 scoops,1 part,full glass,2 parts,,,,,,,,,Blend together in a blender. Serve in a chilled Beer mug with Fresh Blueberries and caramel for topping.,"[""Vanilla Ice-Cream"", ""Butterscotch Schnapps"", ""Milk"", ""Vodka""]"
178,Cafe Savoy,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,Coffee mug,Coffee,Milk,Triple Sec,Brandy,,,,,,,,,,1/2 oz,1/2 oz,,,,,,,,,,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.","[""Coffee"", ""Milk"", ""Triple Sec"", ""Brandy""]"
179,Caipirinha,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xyrppt1469090521.jpg,Old-fashioned glass,Sugar,Lime,Cachaca,,,,,,,,,,2 tsp,1,2 1/2 oz,,,,,,,,,,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,"[""Sugar"", ""Lime"", ""Cachaca""]"
180,Caipirissima,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,Collins Glass,Lime,Sugar,White Rum,Ice,,,,,,,,,2,2 tblsp,2-3 oz,crushed,,,,,,,,,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,"[""Lime"", ""Sugar"", ""White Rum"", ""Ice""]"
181,California Lemonade,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qvvxwy1472406424.jpg,Collins glass,Blended Whiskey,Lemon,Lime,Powdered Sugar,Grenadine,Carbonated Water,,,,,,,2 oz,Juice of 1,Juice of 1,1 tblsp,1/4 tsp,,,,,,,,Shake all ingredients (except carbonated water) with ice and strain into a collins glass over shaved ice. Fill with carbonated water and stir. Decorate with slices of orange and lemon. Add the cherry and serve with a straw.,"[""Blended Whiskey"", ""Lemon"", ""Lime"", ""Powdered Sugar"", ""Grenadine"", ""Carbonated Water""]"
182,California Root Beer,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/rsxuyr1472719526.jpg,Highball glass,Kahlua,Galliano,Soda Water,,,,,,,,,,3/4 oz,3/4 oz,Fill with,,,,,,,,,,Put Kahlua and Galliano in highball glass fill with soda,"[""Kahlua"", ""Galliano"", ""Soda Water""]"
183,Campari Beer,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,Beer mug,Lager,Campari,,,,,,,,,,,1 bottle,1 1/2 cl,,,,,,,,,,,Use a 15 oz glass. Add Campari first. Fill with beer.,"[""Lager"", ""Campari""]"
184,Caribbean Boilermaker,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/svsxsv1454511666.jpg,Beer pilsner,Corona,Light Rum,,,,,,,,,,,1 bottle,1 shot,,,,,,,,,,,Pour the Corona into an 18oz beer glass pour the rum into the beer.,"[""Corona"", ""Light Rum""]"
185,Caribbean Orange Liqueur,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/qwxuwy1472667570.jpg,Collins Glass,Orange,Vodka,Sugar,,,,,,,,,,3 large,3 cups,1 1/3 cup superfine,,,,,,,,,,"Pare very thinly the bright-colored rind from the oranges (no white). Blot the peel on paper towels to remove any excess oil. Put peel in a 4 cup screw-top jar. Add 2 cups vodka. Close jar. Store in a cool, dark place for 2 days or until the vodka has absorbed the flavor. Remove peel and add remaining vodka. Close jar and add remaining cup of vodka. Close the jar and store in a cool dark place at least 1 month to age.","[""Orange"", ""Vodka"", ""Sugar""]"
186,Casino,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,Cocktail glass,Gin,Maraschino Liqueur,Lemon Juice,Orange Bitters,Cherry,,,,,,,,2 oz,1/4 tsp,1/4 tsp,2 dashes,1,,,,,,,,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,"[""Gin"", ""Maraschino Liqueur"", ""Lemon Juice"", ""Orange Bitters"", ""Cherry""]"
187,Casino Royale,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,Whiskey sour glass,Gin,Lemon Juice,Maraschino Liqueur,Orange Bitters,Egg Yolk,,,,,,,,2 oz,1/2 oz,1 tsp,1 dash,1,,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.","[""Gin"", ""Lemon Juice"", ""Maraschino Liqueur"", ""Orange Bitters"", ""Egg Yolk""]"
